Inicio,Fin,,,MEPs,Duración,Tiempo en la Zona,Esfuerzo medio,Frecuencia cardiaca media,Calorías,<span style='font-size:10px'>Frecuencia cardiaca máx.</span>,Fecha,Zona 0 Minutos,Zona 1 Minutos,Zona 2 Minutos,Zona 3 Minutos,Zona 4 Minutos,Zona 5 Minutos,Zona 0 MEPs,Zona 1 MEPs,Zona 2 MEPs,Zona 3 MEPs,Zona 4 MEPs,Zona 5 MEPs,Clase,
7:04 PM,7:49 PM,Workout,7601408,161,45,38,85%,163,513,201,2026-05-14,1,2,1,7,15,19,0,2,2,21,60,76,0

Tiempo,hr
2026-05-14 19:04,93
2026-05-14 19:05,101
2026-05-14 19:06,102
2026-05-14 19:07,110
2026-05-14 19:08,144
2026-05-14 19:09,162
2026-05-14 19:10,164
2026-05-14 19:11,168
2026-05-14 19:12,169
2026-05-14 19:13,174
2026-05-14 19:14,163
2026-05-14 19:15,177
2026-05-14 19:16,176
2026-05-14 19:17,146
2026-05-14 19:18,142
2026-05-14 19:19,152
2026-05-14 19:20,173
2026-05-14 19:21,166
2026-05-14 19:22,160
2026-05-14 19:23,174
2026-05-14 19:24,164
2026-05-14 19:25,160
2026-05-14 19:26,133
2026-05-14 19:27,159
2026-05-14 19:28,185
2026-05-14 19:29,170
2026-05-14 19:30,161
2026-05-14 19:31,152
2026-05-14 19:32,178
2026-05-14 19:34,145
2026-05-14 19:35,160
2026-05-14 19:36,149
2026-05-14 19:37,131
2026-05-14 19:38,171
2026-05-14 19:39,180
2026-05-14 19:40,187
2026-05-14 19:41,175
2026-05-14 19:42,161
2026-05-14 19:43,176
2026-05-14 19:44,191
2026-05-14 19:45,194
2026-05-14 19:46,195
2026-05-14 19:47,191
2026-05-14 19:48,189
2026-05-14 19:49,188

